gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cd4_8	direction
Gramd3	1.966948246018345e-4	-0.7146803486818327	0.491	0.672	1	CD4	down
Capn2	2.0481829015147872e-4	0.7292849820095084	0.37	0.131	1	CD4	up
Metrnl	2.05166335865412e-4	0.7295009438165891	0.285	0.066	1	CD4	up
Tspan13	2.0611763812377164e-4	-0.5202553381085032	0.253	0.475	1	CD4	down
Dnajc15	2.0691014906127765e-4	0.7305446148901671	0.5	0.262	1	CD4	up
Nucb1	2.0735043998926898e-4	0.783890944641104	0.332	0.115	1	CD4	up
Rpl37	2.0929606377473333e-4	-0.3458261868775985	0.994	1	1	CD4	down
Itm2b	2.1852314439859669e-4	0.5393315964983532	0.877	0.852	1	CD4	up
Gsn	2.205264928910057e-4	-0.39065238305422234	0.487	0.705	1	CD4	down
Gapdh	2.2939868949907604e-4	0.5238759607603751	0.899	0.852	1	CD4	up
Aff1	2.3509781724344732e-4	-0.5887464740371156	0.269	0.492	1	CD4	down
Anxa1	2.385541346826539e-4	1.0628944972566736	0.449	0.23	1	CD4	up
Sh3bp5	2.41446561946848e-4	-0.3836431126944104	0.076	0.23	1	CD4	down
Myl2	2.49286387150685e-4	-0.31059019661105586	0.057	0.197	1	CD4	down
Mirt1	2.562374172114101e-4	-0.44344249753939213	0.051	0.18	1	CD4	down
Prr13	2.5659172431858034e-4	0.8228837155244383	0.434	0.213	1	CD4	up
Prg4	2.5981908453518625e-4	-2.1454161713983515	0.37	0.59	1	CD4	down
Slc25a24	2.69108169638156e-4	0.7087781108277066	0.253	0.049	1	CD4	up
Itgb2	2.817831420449699e-4	0.7214929250697125	0.5	0.262	1	CD4	up
Cox8b	2.9786490307689837e-4	-0.4307329502721416	0.066	0.213	1	CD4	down
Ube2i	2.997624743535e-4	0.48690384591767066	0.709	0.541	1	CD4	up
Hspa8	3.0287787306527194e-4	0.6115477641884746	0.949	0.934	1	CD4	up
Ptms	3.0638817844043365e-4	0.8220269124079247	0.462	0.23	1	CD4	up
Cd2ap	3.13564780522624e-4	-0.47304963845603054	0.231	0.459	1	CD4	down
Gypc	3.144321344366678e-4	-0.3035868628613536	0.035	0.148	1	CD4	down
Rps27rt	3.1598163967954334e-4	-0.44789891190834696	0.725	0.902	1	CD4	down
Socs2	3.229460342043836e-4	0.8077697574221389	0.212	0.016	1	CD4	up
Pfn1	3.2856474770225655e-4	0.5186809601991897	0.892	0.836	1	CD4	up
Leprotl1	3.346032153698712e-4	0.7493688339470623	0.623	0.443	1	CD4	up
Sugt1	3.3610754527459207e-4	0.5833579206244546	0.462	0.213	1	CD4	up
Car3	3.392998216626957e-4	-0.39197923216188035	0.196	0.41	1	CD4	down
Tapbp	3.4445506662569283e-4	0.7866120804741019	0.532	0.311	1	CD4	up
Ptp4a2	3.461885608812262e-4	0.5199883912340573	0.873	0.77	1	CD4	up
Cryab	3.5391537697916577e-4	-0.2758768746093825	0.095	0.262	1	CD4	down
Gas7	3.541855712446674e-4	0.7024363532174951	0.234	0.033	1	CD4	up
Atp8b2	3.7193020885283506e-4	0.6286516360308982	0.234	0.033	1	CD4	up
Eno3	3.720177445854235e-4	-0.29941270025927413	0.114	0.295	1	CD4	down
Kras	3.808400940436204e-4	-0.5542907499293046	0.535	0.754	1	CD4	down
Apoe	3.8599962188240103e-4	0.3936631098912068	0.326	0.098	1	CD4	up
Ppm1b	3.896408827296161e-4	-0.4226987443229172	0.215	0.426	1	CD4	down
Pdk1	3.923674846656817e-4	-0.37331559006572945	0.117	0.295	1	CD4	down
Scamp3	3.985344059128952e-4	0.6351072050903377	0.339	0.115	1	CD4	up
Arid5b	4.0853935665399293e-4	-0.4949357701598244	0.187	0.393	1	CD4	down
Eno1	4.2022217428323925e-4	0.668139552486439	0.446	0.213	1	CD4	up
Myh4	4.2560153870516615e-4	-0.4087856538903875	0.022	0.115	1	CD4	down
Rpl11	4.312896363303753e-4	-0.26892060180976873	0.994	1	1	CD4	down
St8sia6	4.423565028416108e-4	-0.5002202314435606	0.079	0.23	1	CD4	down
Ubc	4.6773976589643194e-4	0.4790728445523196	0.93	0.869	1	CD4	up
Uqcrh	4.686381356742765e-4	-0.4350737711532049	0.889	0.967	1	CD4	down
Selenop	4.759537584031122e-4	-0.6436336242766859	0.272	0.492	1	CD4	down
Ccl5	4.8726544982692947e-4	2.6682352914625747	0.263	0.066	1	CD4	up
Actr3	4.885556105726793e-4	0.474112069548035	0.747	0.541	1	CD4	up
Rsbn1	4.913333701323202e-4	0.6474052553531024	0.367	0.148	1	CD4	up
Lck	4.943730618718714e-4	0.7480727988315747	0.585	0.41	1	CD4	up
Ptpn22	4.956020562934042e-4	0.6075998773086186	0.693	0.492	1	CD4	up
Tmem71	4.960214667247116e-4	-0.5976097539290744	0.215	0.41	1	CD4	down
Nsmaf	4.996549650309864e-4	0.58577245078472	0.196	0.016	1	CD4	up
Lrrfip2	5.036751135960339e-4	0.6318343766790748	0.269	0.066	1	CD4	up
Myoz1	5.057561921686461e-4	-0.3625277653466399	0.06	0.197	1	CD4	down
Zfp729b	5.073707403247219e-4	-0.26747959967050977	0.044	0.164	1	CD4	down
Slc35d1	5.095325209496171e-4	-0.37688974259986097	0.101	0.262	1	CD4	down
Themis	5.102811222529148e-4	0.7449517922361146	0.475	0.246	1	CD4	up
Fmnl1	5.136913630508383e-4	0.6550631754356175	0.386	0.164	1	CD4	up
Tmem50a	5.153287539822096e-4	0.581244326442387	0.687	0.557	1	CD4	up
Ppp2r2c	5.231934439830275e-4	0.5870173126951003	0.171	0	1	CD4	up
Cxcl2	5.254024267833774e-4	1.2749725535767948	0.218	0.033	1	CD4	up
Lrrfip1	5.322720131664213e-4	0.7696175594977961	0.611	0.393	1	CD4	up
Pdcd1	5.403076798258373e-4	0.8457019084442194	0.218	0.033	1	CD4	up
Atp6v0b	5.489521498136079e-4	0.6320754828820985	0.405	0.18	1	CD4	up
Nsa2	5.526909649907599e-4	-0.5446518568275005	0.642	0.82	1	CD4	down
N4bp1	5.638757092474687e-4	0.7598618348999739	0.392	0.18	1	CD4	up
Jmy	6.294305265072997e-4	-0.4354588649938054	0.212	0.443	1	CD4	down
Rab8b	6.352664773478683e-4	0.7051153870725206	0.434	0.213	1	CD4	up
Sec63	6.38273144684452e-4	-0.4962815261316035	0.256	0.459	1	CD4	down
Gadd45b	6.436824611159463e-4	1.0496548380445287	0.392	0.18	1	CD4	up
Runx3	6.491943737223155e-4	0.7932426074854029	0.396	0.197	1	CD4	up
AI467606	6.629667652006648e-4	0.6730976937139785	0.244	0.049	1	CD4	up
Lamb2	6.779819796086167e-4	-0.2888496764277084	0.038	0.148	1	CD4	down
Gbp4	6.870399421216801e-4	0.7151070184045213	0.278	0.082	1	CD4	up
Ttc28	6.988868402256053e-4	-0.41076718251382904	0.057	0.18	1	CD4	down
Tspo	7.161223446985573e-4	0.5772077233809076	0.69	0.525	1	CD4	up
Map2k3	7.269193440152305e-4	0.6937990983512518	0.424	0.213	1	CD4	up
Cdc42	7.357956235992879e-4	0.5032955297264912	0.854	0.754	1	CD4	up
Ddx3y	7.500968571913285e-4	-0.49296534624185306	0.386	0.59	1	CD4	down
Atp8a1	7.501216130496942e-4	-0.44724098839846355	0.057	0.18	1	CD4	down
Slc2a3	7.605823931731166e-4	0.6734681044256305	0.301	0.098	1	CD4	up
BC031181	7.621695515112856e-4	0.6784708885344066	0.389	0.18	1	CD4	up
Cxcr3	7.764566164224294e-4	0.739608233542431	0.25	0.066	1	CD4	up
Emb	7.812444064816436e-4	-0.4105811930600325	0.718	0.885	1	CD4	down
Trim26	7.830109053849508e-4	0.6165464864672212	0.272	0.082	1	CD4	up
Dapl1	7.868907437057804e-4	-0.6713947280305785	0.076	0.213	1	CD4	down
Chd3	7.878603928698728e-4	-0.3704422342024394	0.335	0.574	1	CD4	down
Myh2	7.888301393352994e-4	-0.4319727017458282	0.057	0.18	1	CD4	down
Hopx	8.069925616055622e-4	0.6636230338562548	0.335	0.115	1	CD4	up
Mllt11	8.077350982496794e-4	-0.28801797141988317	0.032	0.131	1	CD4	down
Plek	8.249608632731678e-4	0.6799289351353287	0.234	0.049	1	CD4	up
Ddx27	8.302064173182876e-4	-0.3897975048983897	0.18	0.377	1	CD4	down
Slc20a1	8.432032009732964e-4	0.6695762850136097	0.421	0.213	1	CD4	up
4930523C07Rik	8.515799226949463e-4	0.6861197381402673	0.775	0.639	1	CD4	up
Rpl14	8.795624221758201e-4	-0.28504275294035875	0.956	1	1	CD4	down
Antxr2	8.805066258582717e-4	0.7089510563126413	0.269	0.082	1	CD4	up
Pakap.1	8.829175236039444e-4	-0.28674048248043965	0.025	0.115	1	CD4	down
Cobll1	8.866254175738167e-4	0.6072101900789527	0.263	0.066	1	CD4	up
Tspan2	8.90566200494993e-4	0.7253639692834748	0.231	0.049	1	CD4	up
Eif1	8.9206061196933e-4	-0.28903187107052286	0.994	1	1	CD4	down
Foxp1	8.957272247067359e-4	-0.6035546989782401	0.595	0.754	1	CD4	down
Snrpg	8.969847463844238e-4	-0.3997400046377413	0.851	0.885	1	CD4	down
Sept9	8.99363850136594e-4	0.7159976373922046	0.456	0.262	1	CD4	up
Dusp14	9.092903938833778e-4	0.6465991807157616	0.184	0.016	1	CD4	up
Isg15	9.202484730515451e-4	0.6705030780186864	0.231	0.049	1	CD4	up
Klf3	9.228709208261673e-4	-0.6542966497937874	0.301	0.492	1	CD4	down
Sh3gl1	9.257566632376035e-4	0.5766154726572773	0.282	0.082	1	CD4	up
Cdc42ep3	9.322990793924345e-4	0.7056712097270077	0.313	0.115	1	CD4	up
Slamf1	9.325872071265317e-4	0.726923191429602	0.297	0.098	1	CD4	up
Kcnn4	9.420979459991273e-4	0.7292895079904798	0.345	0.148	1	CD4	up
Cblb	9.457864408347281e-4	-0.5652716343630702	0.386	0.59	1	CD4	down
Cmtm7	9.500305738626915e-4	0.5412625566704882	0.399	0.164	1	CD4	up
Tap2	9.696387616574397e-4	0.5879866981751168	0.399	0.18	1	CD4	up
Mbd2	9.998155421443542e-4	0.6308506510414222	0.566	0.377	1	CD4	up
Ing2	0.0010099833621669383	0.6073984812163565	0.301	0.098	1	CD4	up
Adam8	0.0010149361655352443	0.7165967859986532	0.294	0.098	1	CD4	up
Gata3	0.0010209354644357673	0.7570573203747901	0.364	0.164	1	CD4	up
Rassf3	0.0010260609055306475	-0.48138497922658613	0.171	0.344	1	CD4	down
Epsti1	0.0010284243863522	0.7185364065417473	0.421	0.213	1	CD4	up
Stk38	0.001053472850793087	-0.49845870110679624	0.44	0.656	1	CD4	down
Pik3ip1	0.0010560873812888454	-0.32506595875680133	0.066	0.197	1	CD4	down
Gm10076	0.0010666050415379534	0.4567639933875314	0.829	0.705	1	CD4	up
Tpm3	0.0010760248150221273	0.44250089986113217	0.867	0.787	1	CD4	up
Rpl29	0.0010953878018710617	-0.25273953398679083	0.968	1	1	CD4	down
Pcbp2	0.0011134866684084465	-0.3711771037231233	0.728	0.852	1	CD4	down
Nsg2	0.0011147617992819578	-0.3681295747017077	0.12	0.279	1	CD4	down
Lztfl1	0.0011184618257131373	0.6417252391031798	0.231	0.049	1	CD4	up
Bcl2	0.0011388131435680824	-0.4564417594694976	0.266	0.475	1	CD4	down
Zc3hav1	0.0011394582704678476	-0.46569883517870814	0.737	0.885	1	CD4	down
Ttc39c	0.0011467138094812617	0.49039736950661045	0.256	0.066	1	CD4	up
Cenpa	0.0011491518128129018	-0.5010100048447925	0.199	0.393	1	CD4	down
Prr7	0.0011580959424381421	0.6077596024875043	0.206	0.033	1	CD4	up
Clint1	0.0011762919816169185	-0.3801886215055039	0.5	0.754	1	CD4	down
Eef1g	0.0011773193194414091	-0.45235825327794155	0.665	0.803	1	CD4	down
Sod2	0.0011876326513351923	0.6776154729375315	0.396	0.197	1	CD4	up
Ccnd2	0.0011908138391332577	0.8110153366199282	0.709	0.59	1	CD4	up
Traf1	0.001220499382765917	0.7778174059783056	0.522	0.344	1	CD4	up
Rasgrp2	0.0012379551837415049	-0.4527192856799789	0.187	0.377	1	CD4	down
Myl12a	0.0012457774684518023	0.6301491658984217	0.706	0.525	1	CD4	up
Tap1	0.0012597271054747984	0.6889373538004838	0.446	0.262	1	CD4	up
N4bp2	0.001287974158275584	-0.4855738870873892	0.104	0.246	1	CD4	down
Atp2a1	0.0012926274553015347	-0.4809039246587523	0.196	0.377	1	CD4	down
Smad7	0.00129440961202261	-0.46593036825325296	0.715	0.885	1	CD4	down
Pstpip1	0.0012973748050049934	0.5992493960218028	0.332	0.131	1	CD4	up
Cd69	0.0013175282952224965	1.0721562069281756	0.541	0.377	1	CD4	up
Ikzf1	0.0013279215750865712	0.5606384313376942	0.646	0.443	1	CD4	up
Tial1	0.0013617290077896623	0.5576686840651253	0.291	0.098	1	CD4	up
Itgb1	0.0013682068820890295	0.7738683881631212	0.513	0.328	1	CD4	up
Ptprcap	0.0013710731879552427	0.688643428224169	0.456	0.246	1	CD4	up
Mdfic	0.0013827756213214849	0.6086191882872682	0.25	0.066	1	CD4	up
Crot	0.001423471460245729	0.6495532589080586	0.304	0.115	1	CD4	up
Ywhaz	0.0014904124145136497	0.44486870316094373	0.848	0.787	1	CD4	up
Gpr68	0.001499151570618542	0.69641046257259	0.237	0.066	1	CD4	up
Ccdc88c	0.0015433092158273752	0.6795172834393831	0.544	0.344	1	CD4	up
Atp1b1	0.0015764783517014235	-0.3547696661956969	0.079	0.213	1	CD4	down
Srgn	0.0015869786463736392	0.44076646775856876	0.972	0.984	1	CD4	up
Limd1	0.0015927426835425208	0.5448586569475726	0.313	0.115	1	CD4	up
Il2ra	0.0015938956287017837	0.7236085513919108	0.294	0.098	1	CD4	up
Camk2n1	0.0015950589494181276	0.6580777981571181	0.237	0.066	1	CD4	up
Pitpnm2	0.0016454083912808607	-0.34274960605804583	0.044	0.148	1	CD4	down
Rbx1	0.0016695370588399882	0.49886640819923955	0.611	0.393	1	CD4	up
Stat5b	0.0016705812967157318	-0.7774692296501557	0.304	0.459	1	CD4	down
Ifngr1	0.0016877000397577183	0.5181641434169038	0.842	0.689	1	CD4	up
Mapre2	0.0017038921337202625	0.6532196486237509	0.307	0.115	1	CD4	up
Actr2	0.0017159222569152848	0.5217441202407456	0.703	0.59	1	CD4	up
Etfb	0.0017580594944203362	0.6078836683609405	0.358	0.164	1	CD4	up
Snhg1	0.001771930577461128	-0.44595410813075087	0.291	0.508	1	CD4	down
Cfl1	0.0018272895710340147	0.39320534950624886	0.908	0.934	1	CD4	up
Smchd1	0.0018342238622607572	-0.42677190619191574	0.528	0.721	1	CD4	down
Dgka	0.0018643428966048784	-0.4553686346689405	0.266	0.459	1	CD4	down
Rora	0.0018767464620892515	0.5786678646142178	0.585	0.393	1	CD4	up
Itga1	0.0019432031132827902	0.581079084719808	0.193	0.033	1	CD4	up
Ppp3ca	0.0019449772417350825	0.7057407828370155	0.462	0.279	1	CD4	up
Eea1	0.0019607062148648178	0.7341749405203524	0.266	0.098	1	CD4	up
Uba52	0.0019889430149998754	-0.3390568181450653	0.927	1	1	CD4	down
Spn	0.0020123874807120427	0.6835761028263645	0.544	0.393	1	CD4	up
Rnasek	0.0020216230065326626	0.6671676539473748	0.547	0.377	1	CD4	up
Il6st	0.002029911914733753	-0.3636746727114379	0.149	0.311	1	CD4	down
Npm3	0.0020751310767045425	0.5096936300662853	0.329	0.131	1	CD4	up
Ftl1	0.0020905535119594408	-0.2699170964776836	0.832	0.967	1	CD4	down
Lrp10	0.0021059449725578457	0.504763667655715	0.373	0.18	1	CD4	up
H2-Ab1	0.002112978277195883	1.1337205651876152	0.196	0.033	1	CD4	up
Gm2682	0.002117123530999352	-0.3476450640466729	0.123	0.279	1	CD4	down
Zbtb1	0.0021449567647872187	0.49105911576321437	0.364	0.164	1	CD4	up
Cers2	0.0021514990832971798	0.6142462641201947	0.329	0.148	1	CD4	up
Tecpr1	0.00222961725904162	-0.28832475359182763	0.389	0.623	1	CD4	down
Hipk1	0.0022381951003777067	0.6399240207120669	0.554	0.393	1	CD4	up
Rac1	0.0022504961660898826	0.4231530432405115	0.693	0.492	1	CD4	up
Myadm	0.0022674289444165933	0.6712150460871018	0.326	0.131	1	CD4	up
Zdhhc2	0.002290199534421441	0.5030607839976058	0.209	0.049	1	CD4	up
Cfap36	0.0023047530300504978	0.4979744597154485	0.209	0.049	1	CD4	up
Atp2b4	0.002314757416367691	0.7251920747615332	0.342	0.164	1	CD4	up
Psmb3	0.002366965289572823	0.6058334820981939	0.576	0.443	1	CD4	up
Ncor1	0.0023912796914625617	0.5382207694517569	0.797	0.738	1	CD4	up
Csrp3	0.0023978205322565224	-0.35679195580369466	0.073	0.197	1	CD4	down
Cox20	0.0024582547836131193	0.5535607435977006	0.297	0.115	1	CD4	up
Tsc22d4	0.0024947851426733894	0.6384706988372134	0.465	0.262	1	CD4	up
Comtd1	0.00254208648545499	-0.31024062745355896	0.038	0.131	1	CD4	down
Tnfaip3	0.002578576999133357	0.4951522525037362	0.858	0.803	1	CD4	up
Coro2a	0.002581780327827219	0.5107378743480716	0.231	0.066	1	CD4	up
Tbc1d4	0.0026000333652615084	-0.48182708773896515	0.12	0.262	1	CD4	down
Slc3a2	0.002622175751058134	0.6691216869550537	0.497	0.328	1	CD4	up
Polr2e	0.002622457010989211	0.5181415223327241	0.275	0.098	1	CD4	up
Grap2	0.002630451268359486	-0.5534739142291207	0.351	0.525	1	CD4	down
Sqstm1	0.0027048107781707216	0.48234104136206035	0.557	0.393	1	CD4	up
Glipr2	0.0027054286873907834	0.607557442937409	0.313	0.131	1	CD4	up
Usp12	0.002716674994831816	-0.37013323330331815	0.177	0.344	1	CD4	down
Sema4d	0.002768464671690412	0.5777079611603431	0.351	0.164	1	CD4	up
Lyz2	0.0027920028298790596	0.8514031940995284	0.44	0.23	1	CD4	up
Rgs1	0.002818106211030712	0.6554815201687736	0.497	0.295	1	CD4	up
Nfkbia	0.002830945667941431	0.7427394955686135	0.69	0.525	1	CD4	up
Fam129b	0.0028814614133229216	0.41437919347634855	0.158	0.016	1	CD4	up
Mtmr6	0.0028892894271254493	0.4665870228086427	0.18	0.033	1	CD4	up
Rex1bd	0.002968603099360037	0.5490558716942446	0.367	0.18	1	CD4	up
Wdr89	0.0029922456240203898	-0.3542926624425491	0.421	0.59	1	CD4	down
Glrx	0.003022906397574904	0.6377750476148502	0.301	0.115	1	CD4	up
Thada	0.00303612188692556	-0.3825026564549638	0.133	0.279	1	CD4	down
Gm4258	0.0030406030244935823	-0.4906948893506049	0.076	0.197	1	CD4	down
Gm11808	0.003155646467803684	-0.405834810115703	0.585	0.77	1	CD4	down
Chd6	0.0031607009577201066	-0.2574931412475523	0.247	0.459	1	CD4	down
Arhgap25	0.0031881771978616124	-0.33693777755533083	0.114	0.262	1	CD4	down
Arid4a	0.003322615964101749	-0.5220679398416062	0.361	0.541	1	CD4	down
Rnf166	0.003339754416209262	0.550481078797092	0.307	0.131	1	CD4	up
Sertad2	0.003341981957489796	0.5785582037233035	0.241	0.082	1	CD4	up
Adk	0.0033485377760728765	-0.368947734177365	0.155	0.311	1	CD4	down
Lum	0.0034135598142122753	0.3973795546146623	0.127	0	1	CD4	up
Lfng	0.003455463548197568	0.5232491326746566	0.256	0.082	1	CD4	up
Ttn	0.0034750280246906334	-0.39662705758796335	0.171	0.328	1	CD4	down
Gimap1	0.0034836744978088362	-0.4743463148575624	0.456	0.607	1	CD4	down
Bnip2	0.0034901834966544307	0.571236609269766	0.335	0.164	1	CD4	up
Zeb2	0.003517423043051384	0.6796264878282492	0.269	0.098	1	CD4	up
Cd48	0.003521608073929177	0.594690310390028	0.348	0.164	1	CD4	up
Bcl11b	0.0035603578018849327	0.5886623843654397	0.576	0.426	1	CD4	up
Ipcef1	0.003575580888809516	-0.3037711068585519	0.149	0.311	1	CD4	down
Polg	0.0035761378219663366	-0.3766831793701106	0.108	0.246	1	CD4	down
Ezr	0.0035990082397883718	0.5044340069387316	0.794	0.689	1	CD4	up
Car5b	0.003626768561147295	0.43598167769676394	0.152	0.016	1	CD4	up
Col1a1	0.003644768243267213	0.5960765199721842	0.709	0.574	1	CD4	up
Igtp	0.003664899228184675	0.652946366928861	0.354	0.164	1	CD4	up
Dusp2	0.003678169081282221	0.7592512871909942	0.475	0.311	1	CD4	up
Trpv2	0.0037456775842492733	0.5755682891805491	0.301	0.131	1	CD4	up
Gm2000	0.003783459736432982	-0.45594385277794625	0.244	0.41	1	CD4	down
Arpc2	0.003811704661653174	0.35483136403648796	0.896	0.934	1	CD4	up
Elob	0.0038299013838808084	0.5352942495693038	0.766	0.721	1	CD4	up
Fbxo32	0.0038388061368597602	-0.3225685998491868	0.089	0.213	1	CD4	down
Zfp260	0.0038433739920481127	-0.43192497778451794	0.127	0.262	1	CD4	down
Arid5a	0.003850714340444386	-0.4558730857137041	0.468	0.639	1	CD4	down
Fkbp8	0.003855410487797721	0.4987861855775403	0.373	0.18	1	CD4	up
Arih1	0.00386310043712569	-0.3638759517005956	0.446	0.639	1	CD4	down
Alg10b	0.003889485090216581	0.3335053431972528	0.123	0	1	CD4	up
Fam129a	0.003913772495840701	0.5831714567727393	0.244	0.082	1	CD4	up
Nfkb1	0.003941484160197204	0.6765821673900048	0.661	0.525	1	CD4	up
Tbl1x	0.003955460718040785	-0.4130114774153507	0.187	0.361	1	CD4	down
U2af2	0.004070751952612619	0.5392712913288344	0.335	0.148	1	CD4	up
Atp10a	0.004095062710132773	0.44470718970504164	0.149	0.016	1	CD4	up
Tmbim6	0.004114290235116256	0.5149062089675327	0.57	0.41	1	CD4	up
Rac2	0.004115459443393343	0.43027659201081825	0.832	0.803	1	CD4	up
Gnptg	0.00415940840013371	0.5296408193190584	0.222	0.066	1	CD4	up
Cmah	0.004212716966151435	-0.30552257937588567	0.142	0.295	1	CD4	down
Gbp6	0.004217997163101032	0.6011142888790051	0.196	0.049	1	CD4	up
Cd27	0.004266293674201606	0.7556193197752524	0.415	0.246	1	CD4	up
Tgfb1	0.004310739414048595	0.4917475205647558	0.503	0.344	1	CD4	up
Tnfsf11	0.00432667922388038	0.6196567422027401	0.25	0.082	1	CD4	up
F2r	0.004376055084526642	0.46461283606362	0.174	0.033	1	CD4	up
2210011C24Rik	0.004430023431307355	0.3584651642907834	0.12	0	1	CD4	up
Zfp36	0.004447121764123677	0.6744908692535736	0.604	0.41	1	CD4	up
Ppp1ca	0.004495845831316297	0.503073032506973	0.68	0.525	1	CD4	up
Rsrp1	0.004522194986376672	0.6462910094006551	0.677	0.525	1	CD4	up
Ralgds	0.004545714550552437	0.5075499553466398	0.218	0.066	1	CD4	up
Itsn1	0.004550049614493712	0.5983619507311904	0.209	0.066	1	CD4	up
Aebp2	0.0045889040413486645	0.6013693125782342	0.63	0.475	1	CD4	up
Psma6	0.004676880600703465	0.5106065523417969	0.377	0.197	1	CD4	up
Dad1	0.004816055182737808	0.5440496568227668	0.722	0.656	1	CD4	up
Klk8	0.004827072632218933	-0.35644519202039054	0.161	0.311	1	CD4	down
Sh3pxd2a	0.00489793034047251	-0.3018102006237817	0.06	0.164	1	CD4	down
Sntb2	0.00494117894053112	0.502195289200382	0.212	0.066	1	CD4	up
Phf20l1	0.0049564434120458545	-0.4684934032691179	0.487	0.656	1	CD4	down
Snrnp70	0.005096301169406473	0.3802442321648698	0.715	0.574	1	CD4	up
Sla	0.005219980213288016	0.6440343086242097	0.297	0.131	1	CD4	up
Atpif1	0.005230513063039702	0.5490375250362325	0.443	0.262	1	CD4	up
Gpr171	0.005287784297531048	-0.4974422336064465	0.13	0.262	1	CD4	down
Gimap1os	0.005339182742205869	-0.3218872883019135	0.114	0.246	1	CD4	down
Klf10	0.005370145152346026	0.7074310323722242	0.288	0.131	1	CD4	up
Cdk11b	0.005381276793359814	-0.3824981681427554	0.329	0.508	1	CD4	down
Hnrnph1	0.005398444054278433	-0.4241559198804008	0.611	0.787	1	CD4	down
H2-T22	0.005405301357236156	0.5885778975351788	0.462	0.295	1	CD4	up
H2-Aa	0.005453224651616803	1.1247736116433649	0.241	0.082	1	CD4	up
Ttc39b	0.005465494136130168	0.5967834016225185	0.358	0.197	1	CD4	up
Ptprc	0.005493086252225477	0.4031330826712951	0.959	0.934	1	CD4	up
Abcg1	0.005532616919799419	-0.3493982725532847	0.174	0.328	1	CD4	down
Ddx47	0.005619660886854539	0.48074985104696066	0.165	0.033	1	CD4	up
Ctla4	0.005793169644395646	0.5827576602186946	0.335	0.148	1	CD4	up
Lman2	0.00586528350405215	0.5222635294333889	0.364	0.197	1	CD4	up
Nup210	0.005878336470964955	-0.474310641203581	0.212	0.377	1	CD4	down
Ap1m1	0.0059502037687233595	0.42821501328918665	0.187	0.049	1	CD4	up
Zeb1	0.005988636856462956	-0.36950069815208053	0.342	0.541	1	CD4	down
Podnl1	0.006046746355095038	0.47777301709169007	0.139	0.016	1	CD4	up
Exosc8	0.006052501126437271	0.5119606204777122	0.25	0.098	1	CD4	up
Furin	0.006063834352955103	0.4355619782898379	0.38	0.197	1	CD4	up
Trbc2	0.006106582400387927	-0.3142833451616478	0.839	0.951	1	CD4	down
Gm15472	0.0062010092888521206	0.5475014047553424	0.301	0.131	1	CD4	up
S100a9	0.006251560606553842	2.2166006248189825	0.475	0.311	1	CD4	up
H2-Q4	0.006359895310315657	0.5774722780048318	0.601	0.492	1	CD4	up
Ier5	0.006378087761471013	0.5962560488804418	0.554	0.41	1	CD4	up
Morf4l2	0.00645023172737867	-0.3912705147787674	0.351	0.525	1	CD4	down
Rlf	0.006457792185797425	0.5029646437728396	0.396	0.23	1	CD4	up
Galnt3	0.0065309318946747425	0.3561575749797095	0.111	0	1	CD4	up
Esyt2	0.006549188421489615	0.7029955918114912	0.579	0.443	1	CD4	up
Gps1	0.00662652084447111	0.41041193719355545	0.184	0.049	1	CD4	up
Ifi47	0.0066729564903541	0.5609182375445442	0.187	0.049	1	CD4	up
Tpst2	0.006686981991598143	0.5146190145616818	0.329	0.164	1	CD4	up
Nptn	0.006778219337919537	0.6129535686881588	0.494	0.377	1	CD4	up
Psma2	0.0068099690366235175	0.4574132220876621	0.554	0.41	1	CD4	up
B4galt5	0.0068353934213455205	0.4989705544479702	0.228	0.082	1	CD4	up
Myl6	0.006862762623953239	0.35134464277866906	0.915	0.934	1	CD4	up
Grina	0.006902753126838118	0.4593678047104333	0.259	0.098	1	CD4	up
Aim2	0.006911850795891352	0.4149339756065004	0.161	0.033	1	CD4	up
Tax1bp1	0.007008476863382228	-0.402260885709649	0.671	0.787	1	CD4	down
Acot7	0.007082738372516414	0.4344233263753732	0.206	0.066	1	CD4	up
Fnbp1	0.007100799756940132	0.5398119403196434	0.475	0.311	1	CD4	up
Gnai2	0.007177605469492926	0.3571489756680464	0.823	0.656	1	CD4	up
Rbm17	0.007233052458502502	-0.3782858778925021	0.209	0.361	1	CD4	down
Ebp	0.007290222756859457	0.3996398366056293	0.234	0.082	1	CD4	up
Inpp5b	0.007303805301958197	0.337328579431694	0.136	0.016	1	CD4	up
Cwc25	0.007338647732585207	0.4700849196185119	0.228	0.082	1	CD4	up
Hdac1	0.007359356009146001	0.4708015468071426	0.38	0.213	1	CD4	up
Ripk1	0.007403400476226206	0.4857440101501108	0.339	0.18	1	CD4	up
Ccl4	0.007427873110007203	0.9926672830639555	0.108	0	1	CD4	up
Psma3	0.007531222742398637	0.3922531579199535	0.649	0.492	1	CD4	up
5031425E22Rik	0.007595516062450653	0.48978503754557584	0.288	0.131	1	CD4	up
Plk3	0.007699536126549759	0.6841949825789588	0.301	0.148	1	CD4	up
Cacybp	0.007716010684722146	0.4861604559230507	0.361	0.197	1	CD4	up
Pgk1	0.007853257826187392	0.564210495181071	0.475	0.311	1	CD4	up
