ident_1	ident_2	gene	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	3_p_val	3_avg_log2FC	3_pct.1	3_pct.2	3_p_val_adj	max_pval	minimump_p_val	avg_fc	min_abs_fc	max_abs_fc	all_same_direction	direction	n_same_direction	min_p	max_p	significant
CHIKV	mock	Emc3	0.04555679817709715	0.17803236993990973	0.297	0.167	1	0.11139921506441935	0.13028832334337626	0.259	0.194	1	0.001291364085632675	-0.2372159645580567	0.2	0.352	1	0.11139921506441935	0.0038690915467991683	0.02370157624174309	0.13028832334337626	-0.2372159645580567	FALSE	up	2	1	1	FALSE
CHIKV	mock	4833439L19Rik	0.9860007819368031	-0.14879194022317854	0.108	0.098	1	0.8282700580650602	0.03270895388532724	0.115	0.109	1	0.043807728626654927	0.1870453805391662	0.156	0.083	1	0.9860007819368031	0.12574990677825362	0.0236541314004383	0.03270895388532724	0.1870453805391662	FALSE	up	2	1	1	FALSE
CHIKV	mock	Gimap1os	0.371888018662735	-0.00144897953357509	0.196	0.137	1	0.3847705461738241	0.01935608108944753	0.126	0.154	1	0.8076808937780124	0.05236432175884598	0.175	0.194	1	0.8076808937780124	0.7521943334304273	0.023423807771572807	-0.00144897953357509	0.05236432175884598	FALSE	up	2	1	1	FALSE
CHIKV	mock	Cisd1	0.23554132014315438	0.013515628399408453	0.184	0.118	1	0.08082542321562806	0.09314030533123335	0.183	0.12	1	0.09453509739057307	-0.03662800805330163	0.097	0.157	1	0.23554132014315438	0.22340603473868476	0.023342641892446725	0.013515628399408453	0.09314030533123335	FALSE	up	2	1	1	FALSE
CHIKV	mock	Smndc1	0.13920013163839737	0.05087567028945206	0.367	0.235	1	0.14237665174698177	-0.10187041650937467	0.252	0.32	1	0.824487029423564	0.12097674090559896	0.279	0.287	1	0.824487029423564	0.3621676009108874	0.023327331561892112	0.05087567028945206	0.12097674090559896	FALSE	up	2	1	1	FALSE
CHIKV	mock	Ube2e3	0.035843654817600025	0.08902172562657296	0.247	0.127	1	0.6803422342210206	-0.033898714389879014	0.173	0.183	1	0.39080095739782483	0.014729893472815947	0.153	0.194	1	0.6803422342210206	0.10372271244679161	0.02328430156983663	0.014729893472815947	0.08902172562657296	FALSE	up	2	1	1	FALSE
CHIKV	mock	Polr2h	0.4221256902077332	0.035160036446310994	0.184	0.137	1	0.6391152508425675	-0.014496890925092987	0.165	0.183	1	0.3864091364331889	0.04901525826306591	0.118	0.157	1	0.6391152508425675	0.7689868761275781	0.023226134594761305	-0.014496890925092987	0.04901525826306591	FALSE	up	2	1	1	FALSE
CHIKV	mock	Cdkn2d	0.6739723379290904	-0.21500885854351026	0.266	0.255	1	0.02514539126546994	0.26540336130726483	0.295	0.211	1	0.8196497129146321	0.01921421644525667	0.203	0.222	1	0.8196497129146321	0.07355520088782175	0.023202906403003747	0.01921421644525667	0.26540336130726483	FALSE	up	2	1	1	FALSE
CHIKV	mock	Tet3	0.5255259308939574	-0.13675117239073098	0.266	0.275	1	0.2074567120846575	0.09782110118681786	0.313	0.246	1	0.95787201553387	0.10821231928284003	0.328	0.361	1	0.95787201553387	0.5021838556825146	0.023094082692975637	0.09782110118681786	-0.13675117239073098	FALSE	up	2	1	1	FALSE
CHIKV	mock	Ubxn2a	0.6017965251240347	-0.16437922374382252	0.285	0.216	1	0.33094254405818385	0.18560026247042494	0.266	0.234	1	0.5550168753052247	0.04791185265779807	0.202	0.241	1	0.6017965251240347	0.700504539258006	0.023044297128133495	0.04791185265779807	0.18560026247042494	FALSE	up	2	1	1	FALSE
CHIKV	mock	Scd2	0.18789684853502245	-0.10430443392689526	0.114	0.167	1	0.6291901241030724	-0.09454544556647881	0.108	0.12	1	0.32037095877687327	0.26737593235731977	0.18	0.148	1	0.6291901241030724	0.46440860918074234	0.02284201762131523	-0.09454544556647881	0.26737593235731977	FALSE	down	2	1	1	FALSE
CHIKV	mock	Xiap	0.19877258734771922	-0.3151162834556076	0.247	0.284	1	0.859589841996452	0.030427689147455417	0.277	0.269	1	0.045915754557896586	0.35304055148249813	0.313	0.25	1	0.859589841996452	0.13151929631258905	0.02278398572478198	0.030427689147455417	0.35304055148249813	FALSE	up	2	1	1	FALSE
CHIKV	mock	Gclc	0.596689631073659	-0.04887794913128374	0.222	0.176	1	0.30838193865647867	-0.05790217047662971	0.162	0.2	1	0.6070105491704401	0.17497974671629368	0.2	0.185	1	0.6070105491704401	0.669174499233167	0.022733209036126745	-0.04887794913128374	0.17497974671629368	FALSE	down	2	1	1	FALSE
CHIKV	mock	Mbnl1	0.22010224054881658	-0.10500497966059186	0.981	0.971	1	0.0015096504139430573	-0.23398581233610694	0.971	0.994	1	8.030731602202276e-6	0.40712680854927097	0.97	0.963	0.1666216192824928	0.22010224054881658	2.4092001329174542e-5	0.02271200551752406	-0.10500497966059186	0.40712680854927097	FALSE	down	2	0.1666216192824928	1	FALSE
CHIKV	mock	Tmed3	0.059434323759164624	0.09242794014253264	0.139	0.059	1	0.20397790181823036	0.08516139724675026	0.144	0.103	1	0.018733936199256205	-0.10947040135058786	0.076	0.148	1	0.20397790181823036	0.055155502370311305	0.022706312012898345	0.08516139724675026	-0.10947040135058786	FALSE	up	2	1	1	FALSE
CHIKV	mock	Pgs1	0.0406819160969775	0.12380331794729782	0.222	0.108	1	0.6854765764732652	0.020497835065013847	0.14	0.126	1	0.06349962267006078	-0.07641527304198009	0.143	0.222	1	0.6854765764732652	0.11714802271447856	0.02262862665677719	0.020497835065013847	0.12380331794729782	FALSE	up	2	1	1	FALSE
CHIKV	mock	Gimap8	0.014344547471851122	0.22208681775856942	0.354	0.186	1	0.25430414318506445	-0.14670360762760004	0.237	0.28	1	0.4633290848421198	-0.007885228844822345	0.242	0.287	1	0.4633290848421198	0.042419295909796845	0.022499327095382344	-0.007885228844822345	0.22208681775856942	FALSE	down	2	1	1	FALSE
CHIKV	mock	Nup50	0.2645688177037218	-0.008458288205448583	0.278	0.186	1	0.32512441376156026	0.09286467255180908	0.248	0.206	1	0.32797755618259355	-0.0169190830199063	0.198	0.259	1	0.32797755618259355	0.6022354086022439	0.022495767108818066	-0.008458288205448583	0.09286467255180908	FALSE	down	2	1	1	FALSE
CHIKV	mock	Brpf1	0.13968683872169554	0.09656592084811727	0.184	0.108	1	0.40476980492002157	-0.08364993921088404	0.151	0.177	1	0.6830012802489438	0.05453917661397617	0.126	0.148	1	0.6830012802489438	0.36324890470442195	0.022485052750403134	0.05453917661397617	0.09656592084811727	FALSE	up	2	1	1	FALSE
CHIKV	mock	Atp6v0e	0.1272627697648857	0.09752667494264	0.677	0.48	1	0.05832615722371965	0.15312189732922965	0.615	0.531	1	0.01628820725155649	-0.18372862913954124	0.476	0.667	1	0.1272627697648857	0.04807302602241333	0.022306647710776135	0.09752667494264	-0.18372862913954124	FALSE	up	2	1	1	FALSE
CHIKV	mock	Ppp3r1	0.4597037267639102	0.02250076133132406	0.285	0.216	1	0.09690937111426964	-0.15072289056131638	0.176	0.24	1	0.5817338397855922	0.1950067311474426	0.227	0.222	1	0.5817338397855922	0.2634639519213735	0.022261533972483427	0.02250076133132406	0.1950067311474426	FALSE	up	2	1	1	FALSE
CHIKV	mock	Armc1	0.2812778822715653	0.03713234625661954	0.177	0.118	1	0.06386214303307701	0.1719001842816758	0.173	0.109	1	0.0027651993609256642	-0.14228555660715764	0.141	0.269	1	0.2812778822715653	0.008272680243879936	0.022248991310379235	0.03713234625661954	0.1719001842816758	FALSE	up	2	1	1	FALSE
CHIKV	mock	St6gal1	0.08408661530663683	0.11213240608212305	0.158	0.078	1	0.7942325643518909	-0.0966773366400952	0.115	0.12	1	0.705714031044829	0.051073271842995316	0.096	0.111	1	0.7942325643518909	0.23164270866274952	0.022176113761674388	0.051073271842995316	0.11213240608212305	FALSE	up	2	1	1	FALSE
CHIKV	mock	Hacd3	0.3291649455089091	0.03543152927478738	0.222	0.157	1	0.816760285149013	-0.008595290622021134	0.126	0.131	1	0.5329741992435599	0.039295627572000225	0.168	0.148	1	0.816760285149013	0.6981110299293849	0.02204395540825549	-0.008595290622021134	0.039295627572000225	FALSE	up	2	1	1	FALSE
CHIKV	mock	Trappc8	0.7457580060787409	-0.03758655921856735	0.171	0.147	1	0.37437726479089845	0.06647146394399761	0.173	0.137	1	0.4210708473317486	0.03694254640360273	0.182	0.231	1	0.7457580060787409	0.7551288798119493	0.021942483709677663	0.03694254640360273	0.06647146394399761	FALSE	up	2	1	1	FALSE
CHIKV	mock	Aida	0.8226044516828191	-0.11185019915426081	0.184	0.157	1	0.06629503872864181	0.10406428111788424	0.147	0.086	1	0.4337030549532165	0.073580398089789	0.136	0.111	1	0.8226044516828191	0.18599138853309208	0.021931493351137477	0.073580398089789	-0.11185019915426081	FALSE	up	2	1	1	FALSE
CHIKV	mock	Mtdh	0.4634510796777104	-0.09771754256345955	0.563	0.431	1	0.27519772635093914	0.06799414902997314	0.529	0.469	1	0.9122630211596555	0.09501606079768465	0.466	0.537	1	0.9122630211596555	0.6192335797141985	0.021764222421399415	0.06799414902997314	-0.09771754256345955	FALSE	up	2	1	1	FALSE
CHIKV	mock	Mrps28	0.028605274229641802	0.18273051821533423	0.165	0.069	1	0.3692671666176179	-0.10916065079424864	0.112	0.137	1	0.11389779231669961	-0.00858223457151952	0.099	0.157	1	0.3692671666176179	0.08338444414837991	0.02166254428318869	-0.00858223457151952	0.18273051821533423	FALSE	down	2	1	1	FALSE
CHIKV	mock	Oard1	0.7144664281621946	-0.20619058860878475	0.133	0.137	1	0.007334896769430294	0.29120343389906916	0.205	0.109	1	0.15932100559946835	-0.02017591676210817	0.097	0.148	1	0.7144664281621946	0.021843682799094793	0.02161230950939208	-0.02017591676210817	0.29120343389906916	FALSE	down	2	1	1	FALSE
CHIKV	mock	Tubgcp4	0.5744684047362076	0.014833289987589926	0.165	0.127	1	0.9676011165023815	-0.07972446262872263	0.115	0.114	1	0.38987436282120147	0.12951255439822923	0.128	0.102	1	0.9676011165023815	0.7728787223293218	0.021540460585698844	0.014833289987589926	0.12951255439822923	FALSE	up	2	1	1	FALSE
