gene	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	3_p_val	3_avg_log2FC	3_pct.1	3_pct.2	3_p_val_adj	max_pval	minimump_p_val	min_FC
Impad1	0.002786048083732171	-0.1879086169647463	0.206	0.241	1	0.006245255391168352	-0.1391364561692463	0.264	0.271	1	0.9795356172224972	-0.12136175536851224	0.229	0.213	1	0.9795356172224972	0.008334879684905235	-0.12136175536851224
Arhgef3	0.0016338810969102075	-0.2624166060753219	0.291	0.314	1	0.010499904448914228	-0.2435831437477689	0.358	0.341	1	0.8472315110320046	-0.12136287038814164	0.288	0.273	1	0.8472315110320046	0.004893638950169878	-0.12136287038814164
Tcn2	0.7285709581722236	-0.16853255703211323	0.386	0.339	1	0.002727400994950548	-0.21769274515348658	0.489	0.452	1	0.7885040868236705	-0.12156733112127716	0.37	0.349	1	0.7885040868236705	0.008159907124651805	-0.12156733112127716
Rassf2	0.207316390294978	-0.14804340780783498	0.398	0.368	1	1.824510824799884e-14	0.14140431713784662	0.489	0.301	3.785495059294799e-10	0.45826778159278514	-0.12164412513820033	0.356	0.312	1	0.45826778159278514	5.473532474399551e-14	-0.12164412513820033
Vma21	0.4530751039138421	-0.22508516283475366	0.409	0.357	1	0.07213603214365868	-0.17027398694471352	0.47	0.411	1	0.7024808441898819	-0.12185510095258889	0.38	0.342	1	0.7024808441898819	0.20117264260212336	-0.12185510095258889
Capg	1.0921487391953893e-5	0.28480263691411345	0.767	0.682	0.22659902040825938	4.971976270744535e-9	-0.12188467096255406	0.767	0.823	1.031585636654076e-4	1.2265391557682323e-7	0.20141403204935093	0.788	0.649	0.0025448234403879283	1.0921487391953893e-5	1.4915928738071972e-8	-0.12188467096255406
Slc1a5	0.7964062300021024	-0.13358061446031405	0.215	0.201	1	0.0268858528674926	-0.16840820056949646	0.27	0.269	1	0.051257961890802166	-0.12208431629475269	0.255	0.208	1	0.7964062300021024	0.07850844576336938	-0.12208431629475269
Pcmtd1	0.08390945548574269	-0.24841279145969813	0.274	0.275	1	0.6964730128722956	-0.12245408715027628	0.343	0.286	1	0.6757175743606706	-0.15777559016084042	0.278	0.252	1	0.6964730128722956	0.2311967657164404	-0.12245408715027628
Wdfy3	0.32389307011778606	-0.20632749763466407	0.356	0.324	1	0.018129504480242194	-0.1665584550529874	0.446	0.417	1	0.16176029500944947	-0.12269192789981498	0.31	0.321	1	0.32389307011778606	0.05340843542881217	-0.12269192789981498
Pde2a	0.5675994667615202	-0.12271706587100406	0.17	0.166	1	0.9008005010743448	-0.14339885995804807	0.242	0.213	1	0.0463014257949286	-0.2367438598448045	0.179	0.205	1	0.9008005010743448	0.13257207330952536	-0.12271706587100406
Selenot	0.770012966244485	-0.12331995720277222	0.479	0.413	1	0.018387914359821483	-0.13595156431627398	0.508	0.455	1	1.9362458528235317e-6	0.17023044872915438	0.466	0.33	0.040173228954382634	0.770012966244485	5.808726311333843e-6	-0.12331995720277222
Nab2	1.080857428372539e-11	0.14961901340692885	0.282	0.139	2.2425629923873438e-7	0.5927535220666855	-0.12333520471169512	0.305	0.256	1	2.0941079938617976e-15	0.30152867717857146	0.274	0.113	4.344855265664457e-11	0.5927535220666855	6.2823239815853785e-15	-0.12333520471169512
Ly96	5.151766129398688e-4	-0.3004981448891364	0.374	0.389	1	0.8700606038492132	-0.15299943328903598	0.429	0.36	1	0.16628005316261374	-0.12342708541511938	0.388	0.323	1	0.8700606038492132	0.0015447337547234963	-0.12342708541511938
Irf2bp2	3.6713449405763533e-7	-0.41836085669091494	0.66	0.661	0.007617306482707818	4.8142102610726e-6	-0.2145812015862678	0.697	0.684	0.09988523449673431	0.6122473586572006	-0.1235722523937628	0.675	0.586	1	0.6122473586572006	1.1014030778097446e-6	-0.1235722523937628
Dusp6	2.91823418900983e-4	-0.34708694505938376	0.218	0.267	1	0.5293964012731937	-0.1239008854371132	0.256	0.244	1	0.0019468442067341288	-0.25031982110227446	0.19	0.238	1	0.5293964012731937	8.752147988314398e-4	-0.1239008854371132
Adrb2	0.07784756677266762	-0.24057070897544564	0.262	0.273	1	0.3953817832794479	-0.12395480566348771	0.324	0.297	1	0.4341580851528088	-0.1699816754036365	0.246	0.247	1	0.4341580851528088	0.21583374458311883	-0.12395480566348771
Atp6ap2	1.764183729296547e-19	-0.4866913782189055	0.706	0.732	3.660328401544476e-15	6.30412904278786e-23	-0.35440798935528073	0.75	0.766	1.3079806937976253e-18	0.8431997854764467	-0.12405640630743431	0.711	0.614	1	0.8431997854764467	1.8912387128363545e-22	-0.12405640630743431
Calcrl	0.8396394510296807	-0.1247635964410917	0.136	0.124	1	0.09088369396590762	-0.12444280198559593	0.163	0.169	1	1.904109192136153e-8	0.15652746522924374	0.19	0.09	3.95064575184409e-4	0.8396394510296807	5.7123274676395105e-8	-0.12444280198559593
Slc38a6	0.7583124236147081	-0.1245266721183031	0.212	0.187	1	0.3982075028222245	-0.13194344980151346	0.264	0.244	1	0.7230022325627206	-0.141567837661067	0.209	0.205	1	0.7583124236147081	0.7820583138055881	-0.1245266721183031
Igf1r	0.005161351567414407	-0.21721705702778615	0.2	0.234	1	0.27980864783803716	-0.1247015751824252	0.296	0.244	1	0.34817943220268704	-0.15055456561450847	0.197	0.206	1	0.34817943220268704	0.015404273548319029	-0.1247015751824252
Fcho2	0.0868331650464801	-0.13895798852754937	0.602	0.54	1	0.043401851987407	-0.12488504201110096	0.665	0.594	1	0.09122703367298558	-0.22351435524893049	0.548	0.519	1	0.09122703367298558	0.12463615066384547	-0.12488504201110096
Scn1b	0.46818381537698234	-0.12496162269000516	0.142	0.143	1	0.024931704943159428	-0.16506735678122952	0.21	0.217	1	5.007495248089171e-6	-0.16427368161730294	0.114	0.182	0.10389551140735412	0.46818381537698234	1.5022410519367099e-5	-0.12496162269000516
Slc35f5	0.1957379411147755	-0.2383225508509349	0.272	0.262	1	1.11272628615143e-5	-0.30125712978564506	0.334	0.343	0.2308684498506987	0.9625649378819345	-0.12516140904067685	0.279	0.263	1	0.9625649378819345	3.3381417137984274e-5	-0.12516140904067685
Btbd7	0.7717541532954864	-0.15379061040276665	0.391	0.33	1	0.0057303517215378285	-0.19043940046432295	0.447	0.416	1	0.6525609363514575	-0.12617949260475647	0.394	0.354	1	0.7717541532954864	0.01709273253921914	-0.12617949260475647
Cd68	3.072440094227223e-12	0.29769653170099497	0.821	0.676	6.374698707502642e-8	0.0022194065493891125	-0.12618839753817745	0.822	0.825	1	3.7784511161685695e-4	0.12900241290812664	0.797	0.67	1	0.0022194065493891125	9.217320282653356e-12	-0.12618839753817745
4931406P16Rik	0.7935386614040085	-0.178159788695321	0.316	0.279	1	3.2666508792771455e-4	-0.22203098064516003	0.393	0.38	1	0.7719972160248312	-0.12636133730209964	0.324	0.295	1	0.7935386614040085	9.796751684025893e-4	-0.12636133730209964
Stac2	1.6699087318137146e-13	-0.21138344099116596	0.036	0.109	3.464726636767095e-9	5.444260661867977e-19	-0.2186437200959817	0.043	0.132	1.129575202124368e-14	1.3000944648047152e-9	-0.1265312528602462	0.039	0.101	2.6974359955768232e-5	1.3000944648047152e-9	1.6332781985603855e-18	-0.1265312528602462
Brd1	0.8944878043616685	-0.12661554702453082	0.428	0.37	1	0.09381167713364386	-0.17376186105948388	0.499	0.437	1	0.9178642920653916	-0.13463328257946916	0.414	0.374	1	0.9178642920653916	0.2558587410331017	-0.12661554702453082
Ugcg	0.032013152966139546	-0.12756034840101516	0.42	0.321	1	0.1476663549284911	-0.16463388556991032	0.46	0.418	1	4.029078324793102e-14	0.19442342219763964	0.474	0.279	8.359531708280728e-10	0.1476663549284911	1.2087234974378847e-13	-0.12756034840101516
Tmem106a	0.7884049647331115	-0.13425032351446864	0.446	0.382	1	0.5986788836331588	-0.12761598689270626	0.537	0.431	1	1.5746907111864308e-8	0.18585347324447166	0.479	0.321	3.267168287569607e-4	0.7884049647331115	4.7240720591697733e-8	-0.12761598689270626
Dag1	0.6323142951746615	-0.12805342726283087	0.33	0.278	1	0.018868766422866015	-0.19458694928706743	0.396	0.368	1	0.22791461986834358	-0.14920742996659464	0.276	0.277	1	0.6323142951746615	0.0555449260830802	-0.12805342726283087
Fxyd1	3.469831801877809e-7	-0.23387808876477592	0.074	0.134	0.007199207022536078	6.651515865477627e-6	-0.12850031157166772	0.069	0.112	0.1380056511769298	1.3151747756728247e-6	-0.39925955653983525	0.092	0.155	0.027287246245659768	6.651515865477627e-6	1.0409491793714016e-6	-0.12850031157166772
Atp2a3	2.899105529757277e-5	-0.3460244192971796	0.194	0.246	0.6015064153140398	6.024388718921014e-9	-0.28109092737722313	0.231	0.29	1.249940171401732e-4	0.7857515603245495	-0.12874575509985758	0.222	0.217	1	0.7857515603245495	1.807316604788329e-8	-0.12874575509985758
Atf4	8.882331271674454e-11	-0.44912257834352154	0.822	0.796	1.8429060922470156e-6	3.689328546514045e-41	-0.6004503147999078	0.825	0.883	7.65461886830734e-37	0.5915987048839556	-0.12938973386971453	0.858	0.713	1	0.5915987048839556	1.1067985639542084e-40	-0.12938973386971453
Polr3gl	0.18034994216289552	-0.16589475012427812	0.182	0.19	1	0.3496652027715273	-0.12948984730753688	0.218	0.181	1	0.042330238838817494	-0.186609316632683	0.153	0.182	1	0.3496652027715273	0.1216910185572176	-0.12948984730753688
Sppl3	0.9332742474713673	-0.18481227400873185	0.28	0.246	1	0.9538227753456882	-0.15247356800529155	0.351	0.295	1	0.5638736408829459	-0.1297428767673946	0.291	0.259	1	0.9538227753456882	0.9170460620254886	-0.1297428767673946
Hsbp1	0.3609218362485866	-0.1529278866196051	0.559	0.486	1	9.963524817846299e-6	-0.19620702900270004	0.617	0.566	0.206723212920675	0.09882670415903874	-0.12988240531531203	0.577	0.471	1	0.3609218362485866	2.989027663904759e-5	-0.12988240531531203
Exoc6b	0.09233780706214925	-0.18484369966763936	0.182	0.195	1	0.4765350686067839	-0.1299121304495356	0.243	0.224	1	0.023848592711257798	-0.1519683017733699	0.163	0.198	1	0.4765350686067839	0.06985307602612523	-0.1299121304495356
Mindy2	0.005888341815313845	-0.2816657407697566	0.412	0.398	1	4.86944485996533e-16	-0.3806946854573793	0.471	0.511	1.0103124195456067e-11	0.8493858792565546	-0.12996225091768343	0.416	0.372	1	0.8493858792565546	1.4608334579895942e-15	-0.12996225091768343
Ctnnb1	0.6478588408438744	-0.13044379367082048	0.588	0.507	1	6.280250477200926e-12	-0.3286941236805103	0.624	0.608	1.303026369009648e-7	1.2390726006571685e-9	0.17541080246509533	0.631	0.473	2.570827831843493e-5	0.6478588408438744	1.8840751431484446e-11	-0.13044379367082048
Gdi2	0.014736727341988156	-0.13074375885778888	0.848	0.781	1	1.3424393318914627e-6	-0.14381000544226596	0.859	0.848	0.02785293125808407	0.10884709470719985	-0.1572057253918122	0.845	0.734	1	0.10884709470719985	4.027312589246727e-6	-0.13074375885778888
Slc35e4	0.23056543285140335	-0.24696188794181917	0.367	0.338	1	5.1443489182977895e-6	-0.3062968711889483	0.427	0.427	0.10673495135684254	0.9620465914770863	-0.13100724573468492	0.391	0.358	1	0.9620465914770863	1.5432967362052117e-5	-0.13100724573468492
B230219D22Rik	0.006380675085690806	-0.2664085778857799	0.458	0.436	1	0.012811993486338668	-0.2102401708043109	0.527	0.464	1	0.5884896068439313	-0.13102720544127355	0.437	0.4	1	0.5884896068439313	0.019020145989942557	-0.13102720544127355
Sde2	1.3278776974771656e-15	0.20914365800985513	0.598	0.353	2.755080646725623e-11	0.33516337079044267	-0.13108678526846007	0.625	0.547	1	2.4289570059820486e-16	0.3527066223181816	0.559	0.351	5.0395999960115545e-12	0.33516337079044267	7.286871017946146e-16	-0.13108678526846007
Cox7c	0.004683338946830059	-0.1311170103518684	0.884	0.836	1	1.3177749434578628e-8	-0.15006733130550698	0.864	0.886	2.734119452686374e-4	0.3569147311495141	-0.20534971613150166	0.888	0.792	1	0.3569147311495141	3.95332477827767e-8	-0.1311170103518684
Cfl2	0.04934612190840374	-0.13143044531827364	0.17	0.192	1	5.48196018525185e-4	-0.18697554015624607	0.245	0.265	1	3.110590479376812e-4	-0.1684597946520719	0.18	0.238	1	0.04934612190840374	9.328869007164995e-4	-0.13143044531827364
Prkacb	0.6268225826046656	-0.216009466287703	0.357	0.315	1	3.895955218653877e-4	-0.23421198573957958	0.424	0.414	1	0.26988704967602306	-0.13146923097608165	0.346	0.347	1	0.6268225826046656	0.0011683312707188194	-0.13146923097608165
Ccpg1	0.056613088653249696	-0.16385294833688363	0.279	0.285	1	0.591159608911751	-0.1316403150066695	0.353	0.288	1	0.8264954006158114	-0.14532293947100883	0.296	0.277	1	0.8264954006158114	0.1604055878551162	-0.1316403150066695
Ptma	3.838640189310546e-6	-0.23671653014763905	0.953	0.974	0.07964410664781521	1.07373503605272e-20	-0.2799243892178529	0.947	0.988	2.2277854528021834e-16	0.08008753562319329	-0.13169793363082327	0.974	0.937	1	0.08008753562319329	3.221205108158153e-20	-0.13169793363082327
Trpv4	0.008308802780283035	-0.16770231427847263	0.089	0.119	1	0.053653895222303745	-0.13204206021923498	0.136	0.15	1	1.0823518398858097e-4	-0.1765564839954357	0.08	0.129	1	0.053653895222303745	3.2467040866854285e-4	-0.13204206021923498
Rab14	0.04108084107331236	-0.1940929827029958	0.735	0.641	1	2.882056787282744e-4	-0.1321994448746684	0.79	0.73	1	0.2738301061048623	-0.16191627085752613	0.713	0.623	1	0.2738301061048623	8.643678725841578e-4	-0.1321994448746684
C5ar1	0.10635530527174605	-0.15884547984170583	0.768	0.742	1	1.0680792572992215e-14	-0.32825775739606344	0.771	0.829	2.2160508430444248e-10	0.6320030219635283	-0.13258814879667558	0.747	0.668	1	0.6320030219635283	3.2042377718976345e-14	-0.13258814879667558
Slc17a5	0.7650175958920702	-0.13296426501234238	0.252	0.217	1	0.1874208317753288	-0.17368687844406094	0.325	0.297	1	0.07714029543331336	-0.20497820215183588	0.226	0.247	1	0.7650175958920702	0.21402804374568601	-0.13296426501234238
Jade1	0.04564864521982794	-0.16394789151304656	0.084	0.106	1	0.01585184337907251	-0.13386035869446955	0.106	0.126	1	0.001959408568190871	-0.16459879716988354	0.087	0.127	1	0.04564864521982794	0.005866715381483236	-0.13386035869446955
Nbeal1	0.07569723829390573	-0.21698818444086732	0.37	0.357	1	0.19177378764954317	-0.13391459381436255	0.424	0.38	1	0.8773838020048028	-0.17733857602153869	0.368	0.339	1	0.8773838020048028	0.21033524984268873	-0.13391459381436255
Spred1	3.141088866494842e-5	-0.3055991713760613	0.64	0.608	0.6517131180203498	3.405186252012927e-15	-0.29716081211881784	0.688	0.703	7.065080435676421e-11	0.8053465008998686	-0.1339252092300649	0.629	0.554	1	0.8053465008998686	1.0215558756038726e-14	-0.1339252092300649
Anp32e	0.23819629360828948	-0.13406959248733297	0.466	0.424	1	0.11785250348620126	-0.14651595452397526	0.5	0.441	1	0.725630532748787	-0.13542708437592244	0.421	0.369	1	0.725630532748787	0.3135267511984735	-0.13406959248733297
Serinc3	7.552331365661546e-29	-0.4816017462208979	0.916	0.941	1.5669577117474576e-24	1.6276191307995727e-45	-0.4122346232333438	0.905	0.973	3.3769841725829534e-41	0.020963487197437625	-0.13416411564883868	0.947	0.855	1	0.020963487197437625	4.882857392398701e-45	-0.13416411564883868
S100a6	1.3696062611160674e-12	-0.38906081532053793	0.938	0.977	2.8416590705636166e-8	4.338722683642845e-40	-0.4868646013705069	0.947	0.991	9.001981824022174e-36	0.017783107062863297	-0.1341913225439315	0.96	0.965	1	0.017783107062863297	1.3016168050928497e-39	-0.1341913225439315
Hist1h1c	0.40509384443205393	-0.1924569320147742	0.284	0.278	1	0.0671206667087648	-0.13457126765605865	0.308	0.31	1	5.6705865602495706e-6	-0.4548251273460373	0.247	0.323	0.11765332995205809	0.40509384443205393	1.701166321427524e-5	-0.13457126765605865
